[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiqufscpmzl, sourceWrapper: wiqunarfss8
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiqunarqbc3, sourceWrapper: wiqunarqta3
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiqunarqbc2, sourceWrapper: wiqunarqta3
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiqunarqbc1, sourceWrapper: wiqunarqta3
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiqunarqbc8, sourceWrapper: wiqunarqta3
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts271, sourceWrapper: wiotatts245
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts270, sourceWrapper: wiotatts245
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts272, sourceWrapper: wiotatts245
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts269, sourceWrapper: wiotatts245
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts260, sourceWrapper: wiotatts237
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts262, sourceWrapper: wiotatts231
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts261, sourceWrapper: wiotatts231
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts263, sourceWrapper: wiotatts231
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts255, sourceWrapper: wiotatts230
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts254, sourceWrapper: wiotatts236
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts257, sourceWrapper: wiotatts230
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts256, sourceWrapper: wiotatts230
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts259, sourceWrapper: wiotatts237
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts258, sourceWrapper: wiotatts237
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts253, sourceWrapper: wiotatts236
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts252, sourceWrapper: wiotatts236
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts226, sourceWrapper: wiotatts502
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts225, sourceWrapper: wiotatts502
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts216, sourceWrapper: wiotatts502
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiqtahdrja0, sourceWrapper: wiqtafshmin
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiqtahdrjb0, sourceWrapper: wiqtafshmin
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiqtahdrjc0, sourceWrapper: wiqtafshmin
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiqunarcp01, sourceWrapper: wiqunar0004
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiqunarcp00, sourceWrapper: wiqunar0004
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiqunarcp02, sourceWrapper: wiqunar0004
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiqufscpzyx, sourceWrapper: wiqunarfsht
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wapqunarcw3, sourceWrapper: wapqunarqta
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wapqunarcw4, sourceWrapper: wapqunarqta
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wapqunarcw1, sourceWrapper: wapqunarqta
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wapqunarcw2, sourceWrapper: wapqunarqta
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wapqunarcw7, sourceWrapper: wapqunarqta
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wapqunarcw8, sourceWrapper: wapqunarqta
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wapqunarcw5, sourceWrapper: wapqunarqta
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wapqunarcw6, sourceWrapper: wapqunarqta
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiqufscpjsw, sourceWrapper: wiqunarfsjj
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiqufscpjjd, sourceWrapper: wiqunarfsht
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wapqtahdrja, sourceWrapper: wapqtafshmi
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wapqtahdrjc, sourceWrapper: wapqtafshmi
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wapqtahdrjb, sourceWrapper: wapqtafshmi
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiqunarqcw7, sourceWrapper: wiqunarqta2
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiqunarqcw6, sourceWrapper: wiqunarqta2
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiqunarqcw5, sourceWrapper: wiqunarqta2
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiqunarqcw4, sourceWrapper: wiqunarqta2
[2024-09-18 15:52:33][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiqufscplxw, sourceWrapper: wiqunarfss8
[2024-09-18 16:00:27][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiqufscpmzl, sourceWrapper: wiqunarfss8
[2024-09-18 16:00:27][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiqunarqbc3, sourceWrapper: wiqunarqta3
[2024-09-18 16:00:27][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiqunarqbc2, sourceWrapper: wiqunarqta3
[2024-09-18 16:00:27][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiqunarqbc1, sourceWrapper: wiqunarqta3
[2024-09-18 16:00:27][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiqunarqbc8, sourceWrapper: wiqunarqta3
[2024-09-18 16:00:27][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts271, sourceWrapper: wiotatts245
[2024-09-18 16:00:27][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts270, sourceWrapper: wiotatts245
[2024-09-18 16:00:27][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts272, sourceWrapper: wiotatts245
[2024-09-18 16:00:27][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts269, sourceWrapper: wiotatts245
[2024-09-18 16:00:27][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts260, sourceWrapper: wiotatts237
[2024-09-18 16:00:27][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts262, sourceWrapper: wiotatts231
[2024-09-18 16:00:27][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts261, sourceWrapper: wiotatts231
[2024-09-18 16:00:27][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts263, sourceWrapper: wiotatts231
[2024-09-18 16:00:27][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts255, sourceWrapper: wiotatts230
[2024-09-18 16:00:27][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts254, sourceWrapper: wiotatts236
[2024-09-18 16:00:27][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts257, sourceWrapper: wiotatts230
[2024-09-18 16:00:27][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts256, sourceWrapper: wiotatts230
[2024-09-18 16:00:27][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts259, sourceWrapper: wiotatts237
[2024-09-18 16:00:27][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts258, sourceWrapper: wiotatts237
[2024-09-18 16:00:27][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts253, sourceWrapper: wiotatts236
[2024-09-18 16:00:27][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts252, sourceWrapper: wiotatts236
[2024-09-18 16:00:27][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts226, sourceWrapper: wiotatts502
[2024-09-18 16:00:27][][localhost-startStop-1][com.qunar.hotel.price.service.config.WrapperInfoConfig][ERROR] wrapperId: wiotatts225, sourceWrapper: wiotatts502
